Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
01-01-2017,62,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,6,29,16,19,62,36
01-02-2017,74,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,26,19,25,74,33
01-03-2017,60,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,30,14,21,60,29
01-04-2017,35,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,3,35,19,16,27,32
01-05-2017,46,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,32,13,19,46,34
01-06-2017,58,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,3,31,14,21,58,36
01-07-2017,54,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,33,47,46,54,37
01-08-2017,36,NO2,IEPA TRAILER,17-031-3103,AQS,3,32,29,13,33,36
01-09-2017,58,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,3,29,21,26,58,30
01-10-2017,52,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,2,31,20,9,52,29
01-11-2017,62,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,3,28,4,15,62,34
01-12-2017,43,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,3,34,10,19,43,35
01/13/2017,46,PM2.5,Gary- Madison St./ Gary Water/ IN American Water Co.,18-089-0031,AQS,5,36,10,22,46,33
01/14/2017,87,PM2.5,PERSHING SCHOOL,17-197-1002,AQS,9,25,10,36,87,42
01/15/2017,102,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,13,25,3,51,102,42
01/16/2017,81,PM2.5,GRAVES ES,17-031-3301,AQS,8,24,3,33,81,39
01/17/2017,46,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,5,31,3,9,46,25
01/18/2017,54,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,3,34,1,10,54,36
01/19/2017,76,PM2.5,IEPA TRAILER,17-031-3103,AQS,5,19,4,21,76,27
01/20/2017,68,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,7,22,6,22,68,26
